,中文名,英文名,上映日,ID,海報Url
33,頭七,Funeral,2022-04-01,12430,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/5TYtQSNnyRiSvYk71qhC-1280x1850.jpg
34,咒,Incantation,2022-03-18,11477,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2022/vjyrHV1QwVaAya1lA1Jg-500x714.jpg
35,該死的阿修羅,GoddamnedAsura,2022-03-11,11636,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2022/XacVNBaaSrgDzQo0ahBv-1280x1828.jpg
36,時代革命,RevolutionofOurTimes,2022-02-25,12424,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2022/HoXRCNL5sTQS32WmlFZ9-1080x1543.jpg
37,劇場版咒術迴戰0,JujutsuKaisen0:TheMovie,2022-02-24,12385,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2022/I2Sygucd2Fgiv8RyJZGr-1080x1542.jpg
38,再會啦白宮,SeeYouWhiteHouse,2022-05-20,12191,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2022/65z2Zkof9rJDx2AuQIYr-1080x1530.jpg
39,給阿媽的一封信,ALettertoA'ma,2022-05-20,12800,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/mwbXj2BC1Nd4AmGsov25-1080x1527.jpg
40,安妮詩快跑,Anaisinlove,2022-05-20,12898,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/LjN8CYCcn5GddKk91ABj-497x712.jpg
41,犯罪都市2,TheRoundup,2022-05-20,12923,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/MjbrwWBJM2wVBLhEWJ8q-1080x1543.jpg
42,牛首村,Ox-HeadVillage,2022-05-20,12924,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/NCSnbxMEf9FjDZiklfPT-1080x1543.JPG
